Month Start,Days to +3000,Days to -2000
2023-01-06,30,0
2023-02-02,22,0
2023-03-01,89,0
2023-04-03,84,0
2023-05-04,74,0
2023-06-01,67,0
2023-07-03,82,12
2023-08-01,49,7
2023-09-05,30,0
2023-10-02,24,0
2023-11-01,5,0
2023-12-01,59,0
2024-01-03,56,0
2024-02-02,42,0
2024-03-01,31,0
2024-04-03,21,0
2024-05-03,16,0
2024-06-05,19,0
2024-07-02,41,0
2024-08-01,48,5
2024-09-04,31,0
2024-10-02,24,0
2024-11-01,48,0
2024-12-02,45,0
2025-01-03,37,3
2025-02-03,19,0
2025-03-06,9,0
2025-04-02,11,0
2025-05-01,8,0
2025-06-03,0,0
